item_id,item_type,repo,title,status,created_date,link,notes
veridian-ai-os#15,pr,FChecklist/veridian-ai-os,"Strip dependency tree and land the reference extraction, retry after first attempt failed",open,2026-08-17T09:24:17Z,https://github.com/FChecklist/veridian-ai-os/pull/15,
veridian-ai-os#14,pr,FChecklist/veridian-ai-os,Add live-checkout drift guard to recurring self-check (task-20260814-033917),open,2026-08-14T03:56:42Z,https://github.com/FChecklist/veridian-ai-os/pull/14,
veridian-ai-os#13,pr,FChecklist/veridian-ai-os,docs(memory): land boss/worker model-tier finding lost when task-20260813-035740 was killed,open,2026-08-13T09:30:37Z,https://github.com/FChecklist/veridian-ai-os/pull/13,
veridian-ai-os#9,pr,FChecklist/veridian-ai-os,"Disk crossed 95 percent, inventory the backup trees and propose a retention policy without deleting anything",open,2026-08-08T02:47:04Z,https://github.com/FChecklist/veridian-ai-os/pull/9,
veridian-ai-os#7,pr,FChecklist/veridian-ai-os,Governance integrity: re-adjudicate 320 backfilled-failed umr_tasks rows,open,2026-08-07T06:13:44Z,https://github.com/FChecklist/veridian-ai-os/pull/7,
veridian-ai-os#6,pr,FChecklist/veridian-ai-os,PLATFORM INTEGRITY: worker units exit 0 but umr_tasks rows are never written back off running,open,2026-08-07T05:49:35Z,https://github.com/FChecklist/veridian-ai-os/pull/6,
veridian-ai-os#5,pr,FChecklist/veridian-ai-os,"zai gtm audit: collapse P1-BLOCKER-001/P8-CB-01 known duplicate (tranche-1 step 1, UMR-20260806-144454-d00c)",open,2026-08-06T14:50:03Z,https://github.com/FChecklist/veridian-ai-os/pull/5,
veridian-ai-os#4,pr,FChecklist/veridian-ai-os,"docs: extend search guidance -- never find over root fs, never grep for a UMR id (UMR-20260806-103641-2a1f)",open,2026-08-06T10:39:08Z,https://github.com/FChecklist/veridian-ai-os/pull/4,
veridian-ai-os#1,pr,FChecklist/veridian-ai-os,Retroactively log crontab-resume decision (2026-08-01),open,2026-08-01T05:02:07Z,https://github.com/FChecklist/veridian-ai-os/pull/1,
veridian-scripts#446,pr,FChecklist/veridian-scripts,Establish ground truth for every non-terminal row in the work register,open,2026-08-17T05:09:11Z,https://github.com/FChecklist/veridian-scripts/pull/446,
veridian-scripts#435,pr,FChecklist/veridian-scripts,sweep-adopt-veridian-scripts-213-fix-orchestrator-mirror-prompt-os-resolv,open,2026-08-16T09:41:47Z,https://github.com/FChecklist/veridian-scripts/pull/435,
veridian-scripts#416,pr,FChecklist/veridian-scripts,"fix(dispatch): land next_queued_task stale-skip gate (UMR-20260806-151638-48cc, RCA of UMR-20260806-083251-604c)",open,2026-08-15T13:48:56Z,https://github.com/FChecklist/veridian-scripts/pull/416,
veridian-scripts#357,pr,FChecklist/veridian-scripts,fix: rewire 24 hazard sites to delegate to resolve_superboss_db_path() (UMR-20260813-130245-6a26),open,2026-08-14T06:22:52Z,https://github.com/FChecklist/veridian-scripts/pull/357,
veridian-scripts#213,pr,FChecklist/veridian-scripts,fix(orchestrator): mirror prompt-os-resolver.ts + orchestra-execution-logger.ts + direct find_code.sh call,open,2026-08-06T19:48:34Z,https://github.com/FChecklist/veridian-scripts/pull/213,
veridian-scripts#204,pr,FChecklist/veridian-scripts,"test: first real batch of load-bearing script tests (47/148 -> 57/150), UMR-20260806-175915-8f47",open,2026-08-06T18:24:11Z,https://github.com/FChecklist/veridian-scripts/pull/204,
veridian-scripts#190,pr,FChecklist/veridian-scripts,chore(scripts): preserve session_metadata_sync.py + sweep_awaiting_approval.py found during scripts-dir reconciliation,open,2026-08-06T16:05:29Z,https://github.com/FChecklist/veridian-scripts/pull/190,
veridian-scripts#72,pr,FChecklist/veridian-scripts,"Close a real fabrication loophole, not_applicable_confirmed must come from a real re-runnable audit script, never an AI narrative",open,2026-08-05T16:45:07Z,https://github.com/FChecklist/veridian-scripts/pull/72,
